id	category	subcategory	topic
115-AM-001	健康支援と社会保障制度	人口・保健統計	将来推計人口
115-AM-002	健康支援と社会保障制度	人口・保健統計	自殺の原因・動機
115-AM-003	人体の構造と機能	神経・睡眠	レム睡眠
115-AM-004	疾病の成り立ちと回復の促進	感染・微生物	病原体の分布
115-AM-005	健康支援と社会保障制度	介護保険	介護支援専門員の業務
115-AM-006	基礎看護学	看護の基本概念	基本的欲求の階層
115-AM-007	疾病の成り立ちと回復の促進	遺伝・染色体	Down症候群の原因
115-AM-008	小児看護学	成長・発達	微細運動の発達
115-AM-009	小児看護学	成長・発達	学童期の身体生理機能
115-AM-010	健康支援と社会保障制度	人口・保健統計	世帯構造
115-AM-011	人体の構造と機能	血液・免疫	止血機構
115-AM-012	疾病の成り立ちと回復の促進	消化器	吐血の性状
115-AM-013	疾病の成り立ちと回復の促進	消化器	胆囊炎の腹痛部位
115-AM-014	疾病の成り立ちと回復の促進	循環器	深部静脈血栓症の危険因子
115-AM-015	疾病の成り立ちと回復の促進	消化器	肝性脳症の原因物質
115-AM-016	基礎看護学	診療に伴う援助	腰椎穿刺の体位
115-AM-017	疾病の成り立ちと回復の促進	薬理	免疫抑制作用
115-AM-018	基礎看護学	食事援助	誤嚥予防
115-AM-019	看護の統合と実践	医療安全	情報伝達のエラー予防
115-AM-020	基礎看護学	感染予防	接触感染予防策
115-AM-021	基礎看護学	診療に伴う援助	採血時の神経損傷予防
115-AM-022	基礎看護学	呼吸を整える援助	酸素投与器具
115-AM-023	基礎看護学	創傷・固定	包帯固定後の観察
115-AM-024	疾病の成り立ちと回復の促進	薬理	強オピオイド鎮痛薬
115-AM-025	人体の構造と機能	神経	対光反射
115-AM-026	人体の構造と機能	運動器	骨格筋の収縮
115-AM-027	人体の構造と機能	神経	痛覚の伝導
115-AM-028	人体の構造と機能	腎・泌尿器	蓄尿反射
115-AM-029	疾病の成り立ちと回復の促進	循環器	肺血栓塞栓症の検査
115-AM-030	健康支援と社会保障制度	医療保険	医療保険制度
115-AM-031	健康支援と社会保障制度	保健医療福祉法規	法律と支援内容
115-AM-032	健康支援と社会保障制度	環境保健	廃棄物の処理
115-AM-033	基礎看護学	患者教育	行動変容と自己効力感
115-AM-034	人体の構造と機能	運動器	股関節の運動
115-AM-035	基礎看護学	体位・移動	ファウラー位の保持
115-AM-036	基礎看護学	フィジカルアセスメント	腹部の打診
115-AM-037	疾病の成り立ちと回復の促進	腎・泌尿器	尿比重の低下
115-AM-038	基礎看護学	休息・睡眠	発達段階と睡眠
115-AM-039	基礎看護学	清潔援助	口腔ケアのブラッシング法
115-AM-040	基礎看護学	衣生活援助	点滴中の寝衣交換
