113-AM-061|自然流産を2回繰り返すのは反復流産です。習慣流産の定義である連続3回以上とは区別します。|自然流産を連続3回以上繰り返す状態を習慣流産といいます。生化学的妊娠は通常この流産回数に含めません。|4回繰り返した場合も習慣流産に含まれますが、定義の下限は3回です。|5回まで待って判断するものではなく、連続3回以上が習慣流産の定義です。
113-AM-062|酸素分圧上昇による血管収縮は主に動脈管閉鎖に関わります。卵円孔の機能的閉鎖は心房間の圧較差によります。|出生後の呼吸で肺血管抵抗が低下し肺血流・肺静脈還流が増えると、左房圧が右房圧を上回り卵円孔が機能的に閉鎖します。|機能的閉鎖は出生直後からの循環変化で起こります。後に組織が癒合する解剖学的閉鎖とは異なります。|動脈管閉鎖を待って卵円孔が閉じるのではありません。呼吸開始による肺血流増加と左房圧上昇が直接の要因です。
113-AM-063|自殺対策基本法は9月10〜16日の自殺予防週間と3月の自殺対策強化月間を規定しています。|ゲートキーパー養成は自殺対策の施策ですが、法律が国の責務としてその名称で直接規定しているわけではありません。|地域自殺対策推進センターは地方公共団体の対策を支える仕組みです。民間団体による設置を同法が定めるという記述は誤りです。|職場のハラスメント防止措置義務は労働施策総合推進法などによるものです。自殺対策基本法の規定との混同です。
113-AM-064|心理教育は病気や治療、対処方法について理解を深める援助です。共同して治療を選ぶ過程そのものを指しません。|共同意思決定は患者の価値観・希望と医療者の専門的知識を共有し、対話を重ねて納得できる治療方針を選ぶ過程です。|ストレングスは本人の強み、能力、資源などです。治療選択を共同で行う方法の名称ではありません。|アドヒアランスは患者が治療方針を理解・納得し、主体的に治療に参加することです。設問の過程は共同意思決定です。
113-AM-065|日中の強い眠気に加え、笑いなどで脱力する情動脱力発作、入眠時幻覚、睡眠麻痺があり、ナルコレプシーが考えられます。|レム睡眠行動障害は夢の内容に合わせて大声や体動が出現する病態です。情動脱力発作は典型的ではありません。|睡眠時無呼吸でも日中の眠気は生じますが、情動脱力発作や入眠時幻覚の組合せはナルコレプシーを示唆します。|むずむず脚症候群は安静時・夜間の脚の不快感と動かしたい衝動が特徴です。事例には該当する訴えがありません。
113-AM-066|応急入院は急速を要し、本人の同意が得られず家族等の同意も得られない場合などの制度です。本人が入院を希望しています。|措置入院は精神障害による自傷他害のおそれについて所定の診察等を経て行われます。暴力の経緯だけで自動的に決まりません。|本人が入院を希望し同意しているため、まず任意入院として対応します。服薬を拒否していることと入院の同意は区別します。|医療保護入院は本人の同意に基づく入院ができない場合に所定の要件で行います。本例では本人が入院を希望しています。
113-AM-067|嚥下機能に応じて水分にもとろみを付けたり胃瘻を利用したりします。すべてを経口摂取に限定すると誤嚥や脱水につながります。|軽い頸部前屈位は気道を守る姿勢として用いられます。嚥下評価に基づき、体幹を安定させて安全な姿勢を調整します。|胃瘻からは水分や適切に調製した薬剤なども注入できます。薬剤の剤形やチューブ閉塞に注意して指示に従います。|注入時間は本人・家族の生活に合わせて調整することが重要です。治療に一方的に生活を合わせる説明は不適切です。
113-AM-068|2019年の利用者は要介護5が最多ではありません。訪問看護は重度者だけでなく、比較的軽い介護度でも利用されます。|悪性新生物が最多ではありません。末期の悪性腫瘍などは医療保険による訪問看護となる点も区別します。|2019年の調査では、介護保険による訪問看護利用者は医療保険による利用者より多くなっています。|要支援1・2の利用者は全体の4割には達していません。要介護者の利用が中心です。
113-AM-069|調理は買い物、金銭管理、服薬管理などと並ぶIADLです。地域で自立して暮らすための複雑な生活動作です。|着衣は基本的ADLに関わり、季節に合う服の選択には判断力も必要です。選択肢の中でIADLに直接該当するのは調理です。|排泄動作は食事や移動などとともに基本的ADLに分類されます。|日付が答えられないことは時間の見当識障害を示します。IADLの動作そのものではありません。
113-AM-070|介護技術の説明は負担軽減に役立ちますが、長男は同じ思いをする人がいるかという孤立感を訴えています。|休息の機会は大切ですが、この発言への最も直接的な支援は、経験を共有できる相手につなぐことです。|短期入所は休息確保に有用ですが、「自分だけか」という気持ちへの対応をまず考えます。|同じ立場の介護者との交流は体験や感情を共有でき、孤立感を和らげます。紹介前に相手の了解を得る点も適切です。
113-AM-071|看護師の人員配置基準は医療法などで定めます。人材確保促進法の研修・就業支援の規定とは異なります。|看護師等の資質向上のための研修などは、人材確保促進法に規定される措置です。養成・処遇改善・就業促進も柱です。|雇入れ時の健康診断は労働安全衛生法令によるものです。人材確保促進法の規定ではありません。|年次有給休暇の取得義務は労働基準法によるものです。また対象労働者に確保するのは年5日であり「5回」とは異なります。
113-AM-072|災害を遊びで再現することは体験を整理する過程でみられます。それだけで直ちに児童精神科受診と判断しません。|危険な行動は止めますが、再現遊び自体を全面的に禁止すると体験や感情を表現する機会を奪うことがあります。|安全を確かめる声かけをしながら見守り、体験を遊びで整理する過程を支えます。症状が持続・悪化する場合は専門家につなぎます。|役割を持つことは有用な場合もありますが、再現遊びへの具体的な対応としては安心感を与える見守りが適切です。
113-AM-073|生活不活発病は活動低下が続くことで起こります。車中泊開始直後の狭い姿勢と脱水に直結する問題は血栓症です。|長時間同じ姿勢で下肢静脈血流が停滞し、脱水も加わると血栓が生じやすくなります。肺塞栓につながる危険があります。|クラッシュ症候群は筋肉が長時間圧迫され、解除後に横紋筋融解などが全身へ影響する病態です。車中泊の一般的な問題ではありません。|PTSDは外傷体験後に症状が一定期間持続する病態です。発災直後の車中泊で特に注意する急性の身体問題とは異なります。
113-AM-074|普段の食事や文化的背景を把握し、病状に適した食材・調理法を一緒に検討します。まず否定せず情報を得る対応です。|説明や状況把握をせず一律に禁止すると信頼関係を損ないます。衛生や治療上の条件を確認したうえで調整します。|急性胃腸炎後に量を優先すると症状を悪化させることがあります。消化しやすさ、量、本人の食べられる状態を確認します。|病院食の完食を条件にすると文化や嗜好を尊重できません。食べられる内容を病状に合わせて相談します。
113-AM-075|三叉神経は顔面の知覚と咀嚼筋の運動などを担います。声帯運動を担う喉頭の神経の分枝元ではありません。|顔面神経は表情筋の運動や舌前方の味覚などに関わります。声帯を動かす神経ではありません。|舌咽神経は咽頭の知覚や舌後方の味覚などに関与します。声帯の運動を担う反回神経の分枝元ではありません。|迷走神経から分枝する上喉頭神経や反回神経が、喉頭筋を支配して声帯の緊張・運動を調整します。|舌下神経は主に舌筋を支配します。発語に関わりますが、声帯運動の神経とは異なります。
113-AM-076|月経前の張りは黄体期のプロゲステロンの作用や水分貯留などが関わります。エストロゲンだけの作用とする説明は適切ではありません。|オキシトシンは乳腺の筋上皮細胞を収縮させ、乳汁を乳管へ押し出す射乳反射を起こします。弛緩ではありません。|乳腺は皮膚付属器で、アポクリン汗腺が特殊化したものとされます。|乳房には乳腺と主に白色脂肪組織が存在します。熱産生を担う褐色脂肪組織そのものではありません。|乳汁は乳腺の腺房細胞で産生されます。乳管は産生された乳汁を乳頭へ運ぶ通路です。
113-AM-077|睡眠・覚醒には脳幹網様体や視床下部などが関与します。小脳の主要な機能ではありません。|姿勢反射の中枢は中脳・延髄などの脳幹にあります。小脳も姿勢の調整に関わりますが、反射中枢と同一ではありません。|振動覚などは後索・内側毛帯系を通り、視床などで中継されます。小脳の主機能とは異なります。|小脳は意図した運動と実際の感覚情報を統合し、随意運動のタイミングや力を調整します。障害すると運動失調が生じます。|下行性疼痛抑制には中脳水道周囲灰白質や延髄などが関与します。小脳の代表機能ではありません。
113-AM-078|脳は神経型の成長を示し、乳幼児期に急速に発達して他の臓器より早く成人の大きさに近づきます。|肺は身体全体に近い成長をし、幼児期に成人の大きさになる脳ほど早くはありません。|肝臓は一般型の成長に属し、身体の成長とともに大きくなります。|心臓も身体の発育に伴って成長し、神経型の脳より成人サイズへの到達が遅くなります。|脊柱は一般型の成長で、思春期にも伸びます。早期に成人サイズへ近づく脳とは異なります。
113-AM-079|外膜は大動脈壁の最外層です。解離が進んで外膜が破れると大出血になりますが、偽腔の形成部位は中膜内です。|偽腔は外膜と中膜の境界ではなく、通常は中膜が層状に裂けて形成されます。|内膜の裂け目などから血液が中膜へ入り、中膜を裂いて偽腔を形成します。本来の血管内腔が真腔です。|内膜と中膜の単なる境界面ではなく、中膜の内部が裂けて偽腔となります。|内膜は血管内面の層です。入口となる内膜の亀裂と、偽腔が存在する中膜内を区別します。
113-AM-080|甲状腺クリーゼでは高熱をきたします。低体温は重症甲状腺機能低下症でみられる所見です。|甲状腺クリーゼは致死的となり得る重症病態で、死亡率を2％以下の低リスクとする説明は不適切です。|甲状腺中毒症の患者に感染、手術、抗甲状腺薬の中断などが加わると発症します。感染症は重要な誘因です。|典型的には著明な頻脈を認め、頻脈性不整脈や心不全を伴います。初期の徐脈は代表所見ではありません。|甲状腺ホルモン作用の過剰に伴う多臓器の代償不全です。ホルモン欠乏による粘液水腫性昏睡とは逆の病態です。
113-AM-081|胃癌も脳転移を起こすことはありますが、転移性脳腫瘍の原発巣として最多ではありません。|乳癌は脳転移の重要な原発巣ですが、全体では肺癌の方が多くなっています。|転移性脳腫瘍の原発巣は肺癌が最も多く、血行性に脳へ転移します。|大腸癌も脳転移を起こしますが、原発巣としての頻度は肺癌より低くなります。|子宮頸癌の脳転移はあり得ますが、転移性脳腫瘍で最も多い原発巣ではありません。
113-AM-082|労災保険は政府が管掌し、保険者は国です。業務災害や通勤災害などに対して保険給付を行います。|事業主は労災保険料を全額負担しますが、保険者ではありません。保険料負担者と運営主体を区別します。|市町村は労災保険の保険者ではありません。国民健康保険など別の制度との混同です。|都道府県は労災保険の保険者ではありません。制度は国が管掌します。|健康保険組合は被用者医療保険の保険者です。労災保険は別の制度です。
113-AM-083|肺結核は結核の主要な病型です。全結核の約10％しかないとする記述は誤りです。|結核は感染性の飛沫核を吸い込む空気感染です。通常の接触感染を主経路とする病気ではありません。|結核菌は抗酸菌です。アスペルギルスは真菌であり、原因微生物が異なります。|以前に感染して潜伏していた結核菌が、免疫低下などで再活性化して発症することがあります。|DOTSは服薬を支援・確認し治療完遂を目指す方法です。中断による再燃や薬剤耐性化を防ぐため推奨されます。
113-AM-084|血管拡張や血管透過性亢進などによって血圧は低下します。感染に伴う臓器灌流の障害を評価します。|組織低灌流や代謝異常で乳酸は上昇し得ます。低下を特徴とする病態ではありません。|グラム陰性菌のエンドトキシンは炎症反応を引き起こす原因の一つです。ただし敗血症性ショックは他の細菌や真菌でも起こります。|重症化すると循環、呼吸、腎、肝など複数臓器の機能が障害され、多臓器不全に至ります。|典型的な説明では初期に末梢が温かいウォームショック、その後に低心拍出のコールドショックへ進み得ます。必ずこの順序とは限りません。
113-AM-085|てんかんはけいれんを伴わない発作もあります。またけいれんは低血糖や発熱などでも起こり、同義ではありません。|症候性てんかんは脳の構造的病変など原因となる病態を伴うものです。脳血管障害、外傷、腫瘍などが原因となります。|旧分類の単純部分発作は意識が保たれます。現在の焦点意識保持発作に相当し、意識障害を伴う発作と区別します。|特発性の全般てんかんは小児期〜若年期に発症するものが多く、高齢者に多いとはいえません。|脳の神経細胞に過剰・同期性の電気的興奮が発作的に生じることで、運動・感覚・意識などの症状が現れます。
113-AM-086|脳波は頭皮などから脳の電気活動を記録する検査で、X線は使いません。|筋電図は筋の電気活動を記録する検査です。針電極などを用いますがX線検査ではありません。|CTはX線の透過データをコンピュータで再構成して断層像を得ます。|サーモグラフィは赤外線を利用して表面温度を画像化します。電離放射線であるX線とは異なります。|バリウムなどの造影剤を用いてX線透視・撮影を行い、食道や胃などの形態を調べます。
