114-AM-001|生産年齢人口は15〜64歳の人口です。2022年は59.4％で、40％より高い割合です。|50％は実際の59.4％より低く、最も近い選択肢ではありません。就業者だけを数える指標ではありません。|2022年の生産年齢人口の割合は59.4％で、60％が最も近くなります。|70％は2022年の値より高すぎます。少子高齢化に伴い、生産年齢人口の割合は低下しています。
114-AM-002|平均寿命は0歳の平均余命です。その年の年齢別死亡率が続くと仮定して計算します。|50歳の平均余命は50歳の人があと何年生きるかの期待値で、平均寿命の定義ではありません。|死亡者の平均年齢は人口の年齢構成にも影響され、生命表で求める平均寿命とは異なります。|健康寿命は日常生活に制限なく過ごせる期間の指標で、0歳の平均余命とは異なります。
114-AM-003|2019年調査では20歳代より70歳以上で運動習慣のある割合が高く、若さと習慣の有無は一致しません。|40歳代は最多ではありません。体力の高さではなく、継続して運動する習慣を比較する問題です。|60歳代でも運動習慣のある人は多いですが、選択肢の中で最も高いのは70歳以上です。|2019年調査では70歳以上が最も高い区分です。運動習慣は通常、1回30分以上・週2回以上を1年以上続けることを指します。
114-AM-004|固定されていないマットは滑りや端へのつまずきの原因になります。床面の段差や障害物を減らします。|手すりは歩行中の身体を支え、バランスを崩した際の転倒予防に役立ちます。使いやすい位置に設置します。|暗い廊下では足元や障害物が見えにくくなります。夜間にも足元灯などで照度を確保します。|キャスター付き椅子は立ち座りで動き、転倒の危険があります。安定した椅子を選びます。
114-AM-005|疾病の診察や治療は、保険診療の要件を満たせば医療保険の給付対象になります。|人間ドックは疾病の診療ではなく健康診断で、原則として医療保険の給付対象外です。|薬局等で市販薬を購入する費用は原則自己負担です。保険診療による処方薬の給付とは異なります。|定期予防接種は予防接種法に基づく公費負担等の仕組みで実施され、医療保険の診療給付ではありません。
114-AM-006|仲間を持ちたいという思いは、集団への所属や愛情を求める欲求です。|空腹を満たすことは生命維持に必要な食欲で、生理的欲求に当たります。睡眠や排泄も同じ階層です。|自分らしく能力を発揮したいという思いは、自己実現の欲求に当たります。|他者から称賛されたいという思いは、承認や尊重を求める欲求に当たります。
114-AM-007|臍静脈は胎盤で酸素を受け取った血液を胎児へ運び、胎児循環で最も酸素に富みます。|臍動脈は胎児から胎盤へ血液を戻す血管で、臍静脈より酸素が少ない血液が流れます。|出生後と異なり胎児の肺はガス交換を行いません。胎児の肺静脈は最も酸素に富む血管ではありません。|胎児の肺動脈血は主に動脈管を介して大動脈へ向かい、胎盤から直接戻る臍静脈血より酸素が少なくなります。
114-AM-008|3歳頃には乳歯列が完成していますが、通常は永久歯が生え始める時期ではありません。|6歳頃に第一大臼歯や下顎中切歯などが萌出し始めます。個人差はありますが永久歯萌出開始の目安です。|9歳は乳歯から永久歯への交換が進んでいる時期で、開始時期としては遅すぎます。|12歳頃には第二大臼歯が生える時期となり、永久歯が初めて生える年齢ではありません。
114-AM-009|カウプ指数は主に乳幼児の体格評価に用い、体重を身長の2乗で除して算出します。|ローレル指数は主に学童期の体格評価に用い、体重と身長の3乗から求めます。|タナー分類は乳房や外性器、陰毛などの二次性徴の発達段階を評価する分類です。|スキャモンの発育曲線は組織・器官ごとの発育の特徴を示し、個人の体格を数値評価する指数ではありません。
114-AM-010|65歳以上の者がいる世帯は全世帯の約半数で、10％では大幅に少なくなります。|30％は高齢者の人口割合との混同に注意します。ここでは高齢者がいる世帯の割合を問います。|2022年の全世帯に占める65歳以上の者がいる世帯は約半数で、50％が最も近い値です。|70％は実際の約半数より高い値です。高齢者のみの世帯と、高齢者がいる世帯も区別します。
114-AM-011|視神経は網膜で受けた視覚情報を伝える感覚神経で、眼球を動かす筋を支配しません。|外転神経は外側直筋を支配し、眼球を外側へ向ける働きを担います。|顔面神経は眼輪筋による閉眼などを担いますが、眼球運動を行う神経ではありません。|三叉神経は顔面の感覚や咀嚼筋を支配します。眼球運動は動眼・滑車・外転神経が担います。
