114-PM-001|肺癌による女性の死亡も多いですが、2022年は大腸癌が最も多い部位です。|子宮癌は重要な女性の癌ですが、2022年の女性の癌死亡数で最多ではありません。|2022年の人口動態統計では、女性の悪性新生物死亡数は大腸が最多です。罹患数の順位とは区別します。|乳癌は女性の罹患数が多い癌ですが、死亡数が最多の部位は大腸です。
114-PM-002|喘息の外来受療率は高血圧性疾患より低く、選択肢中の最多ではありません。|糖尿病も継続通院が多い疾患ですが、2020年調査では高血圧性疾患の外来受療率が上回ります。|2020年患者調査では、四つの中で高血圧性疾患の外来受療率が最も高くなっています。|悪性新生物は入院治療でも重要ですが、本問は外来受療率の比較であり、高血圧性疾患が最多です。
114-PM-003|有機水銀は水俣病の原因として知られ、汚染された魚介類の摂取が主要な曝露経路でした。|カドミウムはイタイイタイ病の原因で、汚染水・農作物等を介する健康被害が問題となりました。|ホルムアルデヒドは建材などから発生し、主に室内空気汚染・シックハウス症候群の原因として扱われます。|窒素酸化物等が光化学反応で生じる酸化性物質で、光化学スモッグや目・気道への刺激を引き起こします。
114-PM-004|後期高齢者医療広域連合は後期高齢者医療制度の保険者で、国民健康保険とは別制度です。|共済組合は主に公務員等の被用者保険を担い、国民健康保険の保険者ではありません。|都道府県と市町村が共同で国民健康保険を運営します。ほかに国民健康保険組合も保険者となります。|国は制度設計や財政支援等を担いますが、国民健康保険の直接の保険者ではありません。
114-PM-005|離職時等の届出は看護師等の人材確保の促進に関する法律に基づく努力義務です。|保助看法には、罰金以上の刑に処せられた場合など、免許を与えないことがある欠格事由が定められています。|労働者の定期健康診断は主に労働安全衛生法に基づく事業者の義務です。|都道府県ナースセンターの指定は看護師等の人材確保の促進に関する法律に基づきます。
114-PM-006|がん検診は無症状の段階で癌を早期発見し、早期治療につなげる二次予防です。|予防接種は感染症の発症を防ぐ一次予防に当たります。|リハビリテーションは障害の軽減や社会復帰を図る三次予防に当たります。|健康増進の運動は発病を防ぐ一次予防の取り組みです。
114-PM-007|妊娠中の水痘感染は先天性水痘症候群等の危険がありますが、難聴を代表症状とする本問は風疹です。|妊娠初期の風疹感染は先天性風疹症候群を生じ、難聴・白内障・先天性心疾患などを起こします。|麻疹は妊婦の重症化や流早産の危険がありますが、先天性難聴を特徴とする感染症ではありません。|流行性耳下腺炎は罹患者本人に難聴を起こすことがありますが、妊娠初期感染による先天性難聴では風疹を考えます。
114-PM-008|加齢に伴いインスリン抵抗性等が増して耐糖能は低下しやすく、向上ではありません。|腎の尿濃縮力は低下し、水分を保持しにくくなって脱水リスクが高まります。|肝血流量や代謝能力などの低下により薬物の処理が遅れ、作用が長引く場合があります。|肺の弾性低下などにより呼気後に残る空気は増え、残気量は増加する傾向です。
114-PM-009|特定健診・特定保健指導は医療保険者が実施し、地域包括支援センターの主業務ではありません。|予防接種は主に市町村等が実施する制度で、センターの中核業務ではありません。|介護予防ケアマネジメントは総合相談、権利擁護、包括的・継続的支援とともにセンターの主要業務です。|認定調査を委託される場合はありますが、センターの主な包括的支援業務としての答えは介護予防ケアマネジメントです。
114-PM-010|地域医療支援病院は紹介患者の診療、医療機器の共同利用等を通じ地域の医療機関を支えます。|臨床研究中核病院は質の高い臨床研究・治験等の中心的役割を担います。|特定機能病院は高度医療の提供・技術開発・評価と高度医療に関する研修を行う能力を備えた病院です。|診療所は無床または19床以下の病床を持つ施設で、高度医療提供等を要件とする区分ではありません。
114-PM-011|三尖弁は右心房と右心室の間にあり、右室収縮時の逆流を防ぎます。|僧帽弁は左心房と左心室の間にある二尖の房室弁です。|大動脈弁は左心室と大動脈の間にあり、拡張期の左室への逆流を防ぎます。|肺動脈弁は右心室と肺動脈の間にあります。
114-PM-012|胆汁酸は脂肪を細かい粒に乳化し、リパーゼによる消化や脂質の吸収を助けます。|蛋白質分解はペプシンや膵酵素等が担い、胆汁自体に蛋白分解酵素はありません。|胆汁の主な働きは脂肪の消化吸収補助や排泄で、胃酸分泌促進ではありません。|炭水化物の分解はアミラーゼ等の消化酵素が担い、胆汁の作用ではありません。
114-PM-013|法的脳死判定では平坦脳波の確認が必要です。深昏睡、脳幹反射消失、自発呼吸消失などと併せ判定します。|筋電図は筋や末梢神経の活動を調べる検査で、法的脳死判定の必須基準ではありません。|神経伝導検査は主に末梢神経機能を評価し、全脳機能停止の判定検査ではありません。|髄液検査は髄膜炎等の診断に使いますが、法的脳死判定の必須検査ではありません。
114-PM-014|花粉はアレルギー性鼻炎や喘息等の誘因ですが、COPDの主要危険因子ではありません。|薬剤により肺障害は起こりますが、COPDの代表的原因は長期のたばこ煙曝露です。|たばこ煙の有害物質が気道・肺胞に慢性炎症と破壊を起こし、持続する気流閉塞につながります。|飲酒はさまざまな健康問題に関係しますが、COPDの主要危険因子としてはたばこ煙を選びます。
114-PM-015|肺結核では肺組織の病変から出血し、咳とともに血液を出す喀血がみられることがあります。|胃潰瘍での出血は吐血や黒色便として現れ、気道から出る喀血とは異なります。|大腸癌では血便などを生じ、呼吸器由来の喀血とは異なります。|敗血症は感染に伴う臓器障害で、喀血を典型的症状とする疾患ではありません。
114-PM-016|肺への遠隔転移は起こり得ますが、ウィルヒョウ転移という名称は用いません。|肝転移は主に血行性に起こり、ウィルヒョウ転移とは区別します。|ダグラス窩への播種性転移はシュニッツラー転移と呼ばれます。|ウィルヒョウ転移は左鎖骨上窩リンパ節への転移です。胸管を介するリンパ流と関係します。
114-PM-017|同じ位置への反復注射は脂肪肥厚などを生じ吸収が不安定になります。部位内で少しずつずらします。|インスリン作用に対して食事不足や運動量増加があると低血糖を起こします。症状と対処法を説明します。|超速効型は通常食直前に用います。就寝前の基礎分泌補充には持効型等を用い、処方に従います。|2型糖尿病は食事・運動や内服薬等で管理できる場合もあり、全員にインスリンが必須ではありません。
114-PM-018|看護問題の優先度は生命への影響や本人の希望等を看護師が評価して決め、医師の指示だけで決定しません。|看護過程はアセスメント、問題・診断、計画、実施、評価などからなり、2段階のみではありません。|潜在的な危険も予防的看護の対象で、転倒や感染のリスクなどを取り上げます。|達成度を確認できる具体的な目標を設定することで、援助の効果を評価して計画を修正できます。
114-PM-020|点滴側から脱ぐとルートに負担がかかりやすく、着る際も自由に動く側からでは困難になります。|点滴側から着ることは適切ですが、脱ぐときは自由に動かせる右側からにします。|右側から脱いで可動域を確保し、着るときは点滴のある左側から通します。ルートの牽引や屈曲に注意します。|脱ぐ順序は正しいですが、着るときは点滴側の左から通す方が負担を減らせます。
