id,exam,year,session,number,dataset_status,question_type,category,subcategory,topic,classification_confidence,classification_status,case_id,case_text,preceding_context_ids,question,choices,correct_answers,accepted_answer_sets,correct_answer_value,special_status,requires_image,excluded,exclusion_reason,needs_review,review_reasons,question_url,question_pages,answer_url,answer_page
115-AM-001,115,2026,AM,1,adopted,必修問題,健康支援と社会保障制度,人口・保健統計,将来推計人口,,classified_unofficial,,,[],"令和 5 年（2023 年）推計による日本の将来推計人口で、令和 42 年（2060 年）の将来
推計人口に最も近いのはどれか。","[""6,600 万人"", ""9,600 万人"", ""1 億 600 万人"", ""1 億 2,600 万人""]",[2],[[2]],,,false,false,,false,[],https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[7],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
115-AM-002,115,2026,AM,2,adopted,必修問題,健康支援と社会保障制度,人口・保健統計,自殺の原因・動機,,classified_unofficial,,,[],"警察庁の「令和 4 年中における自殺の状況」の自殺者の原因・動機のうち最も多い
のはどれか。","[""家庭問題"", ""勤務問題"", ""健康問題"", ""経済・生活問題""]",[3],[[3]],,,false,false,,false,[],https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[7],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
115-AM-003,115,2026,AM,3,adopted,必修問題,人体の構造と機能,神経・睡眠,レム睡眠,,classified_unofficial,,,[],レム睡眠の特徴はどれか。,"[""骨格筋が緊張する。"", ""急速な眼球運動を伴う。"", ""体熱の放散が増加する。"", ""大脳皮質の活動が低下する。""]",[2],[[2]],,,false,false,,false,[],https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[7],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
115-AM-004,115,2026,AM,4,adopted,必修問題,疾病の成り立ちと回復の促進,感染・微生物,病原体の分布,,classified_unofficial,,,[],土壌中に分布し感染を引き起こすのはどれか。,"[""結核菌"", ""コレラ菌"", ""破傷風菌"", ""カンピロバクター""]",[3],[[3]],,,false,false,,false,[],https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[7],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
115-AM-005,115,2026,AM,5,adopted,必修問題,健康支援と社会保障制度,介護保険,介護支援専門員の業務,,classified_unofficial,,,[],居宅サービス計画〈ケアプラン〉の作成を業務とするのはどれか。,"[""看護師"", ""介護福祉士"", ""介護支援専門員"", ""精神保健福祉士""]",[3],[[3]],,,false,false,,false,[],https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[8],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
115-AM-006,115,2026,AM,6,adopted,必修問題,基礎看護学,看護の基本概念,基本的欲求の階層,,classified_unofficial,,,[],"マズロー, A. H. の基本的欲求の階層で、集団の一員でありたいという欲求はど
Maslow, A. H.
れか。","[""安全の欲求"", ""承認の欲求"", ""自己実現の欲求"", ""所属と愛の欲求""]",[4],[[4]],,,false,false,,false,[],https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[8],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
115-AM-007,115,2026,AM,7,adopted,必修問題,疾病の成り立ちと回復の促進,遺伝・染色体,Down症候群の原因,,classified_unofficial,,,[],"Down〈ダウン〉症候群の原因となるのはどれか。
Down syndrome","[""5 番染色体"", ""13 番染色体"", ""18 番染色体"", ""21 番染色体""]",[4],[[4]],,,false,false,,false,[],https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[8],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
115-AM-008,115,2026,AM,8,adopted,必修問題,小児看護学,成長・発達,微細運動の発達,,classified_unofficial,,,[],乳幼児期の手先の運動で最も早くできるようになるのはどれか。,"[""はさみを使う。"", ""丸（円）を描く。"", ""ガラガラを握る。"", ""積み木で塔を作る。""]",[3],[[3]],,,false,false,,false,[],https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[8],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
115-AM-009,115,2026,AM,9,adopted,必修問題,小児看護学,成長・発達,学童期の身体生理機能,,classified_unofficial,,,[],乳児期と比べて学童期にみられる身体生理機能の変化はどれか。,"[""血圧の上昇"", ""胃容量の減少"", ""膀胱容量の減少"", ""腹式呼吸への移行""]",[1],[[1]],,,false,false,,false,[],https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[9],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
115-AM-010,115,2026,AM,10,adopted,必修問題,健康支援と社会保障制度,人口・保健統計,世帯構造,,classified_unofficial,,,[],"令和 4 年（2022 年）の国民生活基礎調査で、世帯総数における核家族世帯の割合
に最も近いのはどれか。","[""40 %"", ""50 %"", ""60 %"", ""70 %""]",[3],[[3]],,,false,false,,false,[],https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[9],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
115-AM-011,115,2026,AM,11,adopted,必修問題,人体の構造と機能,血液・免疫,止血機構,,classified_unofficial,,,[],止血機構を有するのはどれか。,"[""血 漿"", ""細胞内液"", ""脳脊髄液"", ""リンパ液""]",[1],[[1]],,,false,false,,false,[],https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[9],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
115-AM-012,115,2026,AM,12,adopted,必修問題,疾病の成り立ちと回復の促進,消化器,吐血の性状,,classified_unofficial,,,[],"胃潰瘍による少量の吐血の特徴はどれか。
gastric ulcer","[""泡沫状"", ""アセトン臭"", ""アンモニア臭"", ""コーヒー残渣様""]",[4],[[4]],,,false,false,,false,[],https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[9],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
115-AM-013,115,2026,AM,13,excluded_image,必修問題,疾病の成り立ちと回復の促進,消化器,胆囊炎の腹痛部位,,classified_unofficial,,,[],"腹部の図を示す。
胆囊炎でみられる腹痛の典型的な部位はどれか。
cholecystitis","[""①"", ""②"", ""③"", ""④""]",[1],[[1]],,,true,true,図・画像等の視覚情報が必要,false,[],https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[10],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
115-AM-014,115,2026,AM,14,adopted,必修問題,疾病の成り立ちと回復の促進,循環器,深部静脈血栓症の危険因子,,classified_unofficial,,,[],"深部静脈血栓症〈DVT〉の危険因子はどれか。
deep vein thrombosis","[""若 年"", ""水分過多"", ""長期臥床"", ""るいそう""]",[3],[[3]],,,false,false,,false,[],https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[10],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
115-AM-015,115,2026,AM,15,adopted,必修問題,疾病の成り立ちと回復の促進,消化器,肝性脳症の原因物質,,classified_unofficial,,,[],"肝性脳症の原因物質はどれか。
hepatic encephalopathy","[""プリン体"", ""アンモニア"", ""グルコース"", ""トリグリセライド""]",[2],[[2]],,,false,false,,false,[],https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[11],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
115-AM-016,115,2026,AM,16,excluded_image,必修問題,基礎看護学,診療に伴う援助,腰椎穿刺の体位,,classified_unofficial,,,[],"腰椎穿刺の体位を図に示す。
適切な体位はどれか。",[],[2],[[2]],,,true,true,図・画像等の視覚情報が必要,true,"[""選択肢の抽出を要確認"", ""正答番号が選択肢範囲外""]",https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[11],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
