113-PM-061|不調が生じる前にストレスへの理解や対処法を身につける研修は、発症を防ぐ一次予防です。|精神的不調が現れた人への相談は、早期対応・悪化防止を目的とする二次予防です。|休職後の復職支援は機能回復・再発予防を目指す三次予防に当たります。|負荷がかかっている人を早期に把握して面談するのは、不調の早期発見・対応として二次予防に当たります。
113-PM-062|悪性症候群は抗精神病薬などに関連する発熱、筋強剛、意識障害などの重篤な副作用です。|空の巣症候群は子どもの独立などで役割を失ったと感じることによる不調です。援助職での消耗とは異なります。|緊張病症候群は昏迷、興奮、姿勢保持などの精神運動症状を示します。仕事で達成感を失う過程の名称ではありません。|援助の仕事で努力を続けても達成感を得られず、情緒的消耗や意欲・社会機能の低下に至る状態を燃え尽き症候群といいます。
113-PM-063|行動援護は行動上の著しい困難などの要件を評価して支給決定します。手帳の交付だけで自動的に給付されるものではありません。|精神障害者保健福祉手帳の交付を受けた人は、税法上の障害者控除の対象となります。等級などにより控除区分が異なります。|自立支援医療は精神科通院の医療費負担を軽減する別の制度です。手帳の交付とは別に申請・認定を受けます。|共同生活援助の利用には必要性の評価と支給決定等が必要で、手帳を持つだけで自動的に援助が開始されるわけではありません。
113-PM-064|警察官という立場だけで患者の退院等請求権があるわけではありません。警察官の通報制度とは区別します。|検察官には精神障害が疑われる人の通報に関する制度がありますが、患者本人の退院請求とは異なります。|入院中の患者本人は、都道府県知事へ退院や処遇改善を請求できます。医療保護入院でも権利は保障されます。|精神保健福祉士は患者の権利行使を支援しますが、職種であることだけで独立の退院請求権を持つわけではありません。
113-PM-065|同居する主な介護者は女性が多く、男性が多数ではありません。|続柄は配偶者が最も多く、子が最多ではありません。|2019年の同居する主な介護者の年齢は60〜69歳が最も多い区分です。介護者自身の健康への配慮も重要です。|悩みやストレスの原因では「家族の病気や介護」が多く、自由な時間の不足が最多ではありません。
113-PM-067|まず実際にどの薬を何時に飲んでいるか、本人の理解や生活の流れを確認します。残薬の偏りの原因を把握してから対策を考えます。|嚥下機能低下はなく、ゼリーの使用は残薬の偏りを説明・解決しません。|必要な種類を説明する前に、朝夕の薬の区別や服用方法を確認します。単純な知識不足と決めつけません。|認知・嚥下機能が保たれているため、まず本人の服薬状況を評価します。最初から介助サービスを導入するのは早計です。
113-PM-068|訪問入浴介護は介護給付の居宅サービスに含まれます。自宅へ浴槽等を持ち込み入浴を援助します。|「介護予防」とある居宅療養管理指導は予防給付で、要支援者を対象とします。|看護小規模多機能型居宅介護は地域密着型サービスです。法律上の居宅サービスの区分とは異なります。|定期巡回・随時対応型訪問介護看護も地域密着型サービスに区分されます。
113-PM-069|状態が安定した患者に一律の安静を勧めると、体力低下や生活の楽しみの喪失につながります。|趣味を全面的に禁止せず、症状や処方された活動範囲に合わせて安全に続けられるよう支援します。|心不全で短時間に大量の水分を摂ると循環血液量が増え、増悪を招く危険があります。水分は個別の指示に従います。|体重、血圧、労作時症状などの記録から負荷を振り返り、休息や作業量を調整できるよう支えます。
113-PM-070|その場を離れるとBさんが一人で動いて転倒するおそれがあります。その場から応援を求めます。|Aさんは緊急検査が必要で、検査を遅らせるのは適切ではありません。業務を分担します。|片麻痺のBさんを待たせるだけでは、切迫した排泄欲求から一人で移動する危険があります。|別の看護師へBさんの介助を依頼することで、Aさんの緊急検査とBさんの安全な排泄援助を両立できます。
113-PM-071|本人のほか、所定の代理人などが開示を請求できる場合があります。本人だけに限定されません。|感染症の届出は保健所長を経由して都道府県知事等へ行います。市区町村長への一般的な届出ではありません。|患者の知りたくないという意思も尊重します。必要な意思決定を支えながら、説明範囲や希望を確認します。|セカンドオピニオンに必要な診療情報提供書や検査資料を準備し、患者が納得して治療を選べるよう支援します。
113-PM-072|PFAの行動原則は「見る・聞く・つなぐ」です。安全やニーズを確認し、話を聴き、必要な支援へ結びつけます。|危機的出来事の直後から必要に応じて行う支援で、1週間待つ決まりはありません。|派遣チームの名称ではなく、危機にある人への実践的支援の方法です。都道府県の派遣要請は必須条件ではありません。|つらい体験を無理に詳しく話させません。本人が話したいことを聴き、安心と現実的な支援を提供します。
113-PM-073|ガストリンは胃酸分泌などを促す消化管ホルモンです。尿量調節の主要ホルモンではありません。|カルシトニンは甲状腺C細胞から分泌され、カルシウム代謝に関与します。|グルカゴンは肝臓の糖放出などを促して血糖を上げます。|ソマトスタチンは成長ホルモンや消化管ホルモンなどの分泌を抑えます。|バソプレシンは抗利尿ホルモンで、腎集合管の水再吸収を増やし、尿量を減らして尿を濃縮します。
113-PM-074|カルシウムイオンは多くの凝固反応に必要ですが、形成したフィブリンを分解する中心的物質ではありません。|フィブリノゲンはトロンビンによりフィブリンへ変化し血栓を作る材料です。|プラスミノゲンが活性化してプラスミンとなり、フィブリンを分解します。これが線溶の中心です。|プロトロンビンはトロンビンの前駆体で、血液凝固を進める側の因子です。|血小板などから放出されるセロトニンは血管収縮に関わります。フィブリンを分解する酵素の前駆体ではありません。
113-PM-075|DNAの分解で生じるプリン塩基は尿酸などへ代謝されます。胆汁酸の主な材料ではありません。|RNAは核酸であり、胆汁酸はRNAから作られるものではありません。|グリコーゲンは糖の貯蔵形で、必要時にグルコースとして利用されます。|ヘモグロビンのヘムはビリルビンへ代謝され、胆汁に排泄されます。胆汁色素と胆汁酸を区別します。|コレステロールは肝臓で胆汁酸へ変換され胆汁中に分泌されます。胆汁酸は脂質の消化吸収を助けます。
113-PM-076|直腸粘膜の陰窩には粘液を分泌する杯細胞があり、便の通過や粘膜保護に役立ちます。|小腸と異なり、大腸・直腸の粘膜に絨毛はありません。腸腺の陰窩があります。|結腸の縦走筋は結腸ひもを作りますが、直腸では広がって連続した縦走筋層になります。|肛門管周辺には豊富な静脈叢などが存在し、血管が少ないという記述は誤りです。|肛門管は括約筋に囲まれた比較的狭い通路です。便をためる直腸膨大部と区別します。
113-PM-078|ビタミンA欠乏は夜盲症などに関連します。胃切除後の内因子不足による遅発性貧血の原因ではありません。|ビタミンB1欠乏は末梢神経障害や心不全などをきたします。設問の巨赤芽球性貧血とは異なります。|胃切除により内因子が減少するとビタミンB12吸収が障害されます。肝の貯蔵が尽きる数年後に巨赤芽球性貧血が生じます。|ビタミンCは鉄吸収などに関わりますが、術後数年で内因子不足により生じる貧血はB12欠乏です。|ビタミンK欠乏は凝固因子の合成障害による出血傾向をきたします。設問の代表的欠乏ビタミンではありません。
113-PM-079|もやもや病は脳動静脈の直接的な短絡奇形ではありません。内頸動脈終末部を中心とする狭窄・閉塞性の病態です。|病変の中心は頭蓋内の内頸動脈終末部などです。浅側頭動脈は血行再建術に利用される側の血管です。|脳血流不足を補う細かな側副血行路が発達し、血管造影でもやもやした網状の血管としてみえます。|ポリオウイルス感染が原因ではありません。ポリオは主に運動神経を障害する感染症です。|動脈壁の変化による進行性狭窄・閉塞であり、単にウィリス動脈輪へ血栓が詰まる疾患ではありません。
113-PM-080|手足口病の代表的原因はコクサッキーウイルスA群やエンテロウイルス71などです。|咽頭結膜熱はアデノウイルスによります。HPVは疣贅や子宮頸癌などに関与します。|突発性発疹の主な原因はヒトヘルペスウイルス6・7です。|伝染性単核球症の代表的原因はEBウイルスで、発熱、咽頭炎、リンパ節腫脹などをきたします。|ヘルパンギーナは主にコクサッキーウイルスA群などで起こります。名称に似た単純ヘルペスとは別です。
113-PM-081|橋は脳幹の一部で、呼吸調節や神経伝導などに関わります。新しい記憶の形成の中心ではありません。|海馬は新しい出来事を記憶として保持・固定する過程に深く関わります。短時間の作業記憶すべてを海馬だけが担うという意味ではありません。|脊髄は感覚・運動の伝導と反射を担い、短期記憶の中心ではありません。|松果体はメラトニンを分泌して概日リズムに関わります。|視床下部は自律神経・内分泌や摂食・体温などを調節します。選択肢では海馬が記憶に最も深く関わります。
113-PM-082|便の変化、出血、既往や家族歴などを問診し、便潜血検査と合わせて評価します。|直腸診は症状に応じた診療で行いますが、市町村の大腸がん一次検診の標準項目ではありません。|血液検査や腫瘍マーカーは、対策型大腸がん検診の基本項目ではありません。|免疫便潜血検査は便中の微量な血液を検出する一次検診です。陽性なら大腸内視鏡などの精密検査につなげます。|腹部X線検査は市町村の大腸がん一次検診の標準項目ではありません。
113-PM-083|心拍出量低下を補うため通常は頻脈となります。徐脈は代表的な初期所見ではありません。|心嚢内の血液などによって心音が伝わりにくくなり、心音が減弱することがあります。|心臓の拡張が妨げられて静脈還流を受け入れられず、一回拍出量と心拍出量は減少します。|心臓への流入が妨げられ、中心静脈圧が上昇します。低血圧や頸静脈怒張も重要な所見です。|奇脈は吸気時に収縮期血圧が10mmHgを超えて低下する所見です。上昇ではありません。
113-PM-084|胸腺はT細胞の成熟に関わりますが、シェーグレン症候群の代表的な標的外分泌腺ではありません。|涙腺へのリンパ球浸潤により涙液分泌が低下し、眼の乾燥や異物感が生じます。|自己免疫性甲状腺疾患の合併はあり得ますが、シェーグレン症候群の代表的標的は涙腺・唾液腺です。|唾液腺が障害され唾液が減少するため、口腔乾燥、嚥下のしにくさ、齲歯の増加などが起こります。|副甲状腺はカルシウム代謝を調節する内分泌腺で、代表的な標的ではありません。
113-PM-085|咽頭の分泌物が下気道へ流れ込むのを減らすため、必要時に先に除去します。気管内用と器材を分け、汚染させないようにします。|300mmHgは強すぎ、粘膜損傷や低酸素を招きます。一般に150mmHg以下を目安に、必要最小限の吸引圧とします。|気管チューブと同径では内腔を塞いで換気を妨げます。外径が気管チューブ内径の半分以下を目安に選びます。|気管分岐部への接触は粘膜損傷や強い咳、迷走神経反射を招きます。必要な深さまでにとどめます。|30秒は長く低酸素の危険があります。通常は一回の操作を15秒以内など短時間で行い、状態を確認します。
113-PM-086|既に始めた運動を具体的に評価すると、「自分にもできた」という成功体験を認識でき、自己効力感が高まります。|本人の希望や同意を確認せず職場へ配置転換を求めるのは適切ではありません。直接の自己効力感支援でもありません。|実行できそうな小さな目標を一緒に設定すると、達成経験を積み、自分で行動を変えられる感覚を育めます。|既に運動を始めており、行動への意欲はあります。待つだけでなく現在の取り組みを支えます。|危険性の説明だけでは「自分には無理」という気持ちを強めることがあります。具体的な達成可能性を示す援助が必要です。
