114-PM-031|受容はさまざまな危機・悲嘆理論に現れる語ですが、フィンクの最終段階名ではありません。|フィンクの危機モデルは衝撃、防御的退行、承認、適応と進み、最終段階は適応です。|問題解決は危機への対処の過程ですが、フィンクの4段階の最終段階の名称ではありません。|ラポールは相互の信頼関係を表し、危機モデルの段階名ではありません。
114-PM-032|どこで難しくなるかを把握せず練習だけを勧めても、適切な方法を提案できません。|援助が必要な部分を確認する前に手伝いを決めず、本人ができる動作を観察します。|実際の更衣を見て、残存能力や難しい動作を評価することが、自立に向けた個別的な援助の出発点です。|パンフレットは補助になりますが、患者の具体的な困難を観察してから活用します。
114-PM-033|舌癌は口腔内の悪性腫瘍で、うっ血乳頭を直接起こす典型的病態ではありません。|貧血では眼瞼結膜の蒼白などを認めますが、眼底のうっ血乳頭とは異なります。|門脈圧亢進では食道静脈瘤や腹水などを来し、頭蓋内の圧上昇とは別の病態です。|頭蓋内圧が高まると視神経乳頭に浮腫が生じます。うっ血乳頭は頭蓋内圧亢進を疑う眼底所見です。
114-PM-034|電池残量低下は停止や警報の原因ですが、重力で薬液が流れるサイフォニングの原因ではありません。|血液逆流は圧関係やライン管理に関わりますが、薬液が意図せず流入する本現象の直接原因とは異なります。|空気混入は別の重大な危険ですが、サイフォンの原理はシリンジと刺入部の高低差です。|シリンジが刺入部より高く、押し子の固定が不十分な場合などに重力で薬液が流入します。高さと固定を確認します。
114-PM-035|嚥下後の観察と追加嚥下を含め評価し、単に10秒間で判定する検査ではありません。|嚥下の有無、むせ、呼吸状態、湿性嗄声などを評価し、不顕性誤嚥にも注意します。|少量の水を飲み込む咽頭期を中心にスクリーニングするもので、咀嚼等の準備期が中心ではありません。|改訂水飲みテストは通常3mLの冷水を用います。80mLを一度に飲ませる検査ではありません。
114-PM-036|装具を優しく剥がし、ストーマ周囲を観察して洗います。便や粘着剤の残りを取り除きます。|刺激の少ない石けんを泡立てて使用できます。よくすすいで皮膚に残さないようにします。|通常の清潔ケアに消毒は不要で、消毒薬による皮膚刺激を避けます。|ドライヤーは熱傷や過乾燥の危険があります。柔らかい布で押さえて水分を取り、自然に乾かします。
114-PM-037|右心不全で体静脈圧が上昇し、半座位でも頸静脈の怒張がみられます。|広範囲熱傷では血管外へ水分が移動して循環血液量が減り、頸静脈怒張の典型ではありません。|大動脈瘤破裂は大量出血による循環血液量低下を来すため、右心不全のような静脈うっ滞とは異なります。|アナフィラキシーでは血管拡張や透過性亢進が起こり、頸静脈怒張を特徴としません。
114-PM-038|牛乳のカルシウムとキレートを形成して吸収が低下し、抗菌作用が弱まることがあります。|炭酸飲料で吸収速度が速まると一般化できません。経口薬は原則水または白湯で服用します。|カフェインとテオフィリンは作用が重なり、中枢刺激や動悸等が強まるおそれがあります。減弱ではありません。|一部のカルシウム拮抗薬はグレープフルーツで代謝が抑えられ、血中濃度が上昇して作用が強まります。
114-PM-039|睡眠中の不整脈も調べるため、就寝時も電極を装着したまま記録します。|ホルター心電図の電極は通常胸部に装着し、四肢の動きによる影響を減らします。|電気カーペット等は電気的雑音が混入する原因になり得るため、使用を避けるよう説明します。|普段の生活中の変化を調べる検査で、通常どおり活動し、症状や行動を記録します。
114-PM-040|24時間対応の体制は届出・加算等に関わりますが、すべての事業所に一律義務付けられているわけではありません。|一定の施設等の居住場所にも訪問できる場合があり、自宅以外はすべて不可という説明は誤りです。|法人としての要件や人員・運営基準を満たせば、NPO法人も訪問看護事業所を開設できます。|すべての従事看護師に臨床経験5年以上という法的な一律基準はありません。
114-PM-041|感覚低下があると傷に気付きにくいため、素足を避け、適切な靴下と靴で保護します。|皮膚乾燥・亀裂を防ぐため保湿します。趾間は蒸れを避け、傷や発赤の有無も毎日確認します。|42℃は感覚障害があると熱傷の危険があります。ぬるめの湯を温度計や介助者で確認します。|深爪は皮膚損傷や陥入爪の原因です。指先に沿い長さを保ち、角を深く切り込みません。
